ename,node,var,state,period,value
e2.sc.IDN_Q,e2.sc,IDN,Q,9,263999
e2.dhwt.electric_Q,e2.dhwt,electric,Q,9,0
e2.dhw.Demand_Q,e2.dhw,Demand,Q,9,-61500
e2.ct.rejected_Q,e2.ct,rejected,Q,9,-167000
e2.ahu.Demand_Q,e2.ahu,Demand,Q,9,23199
e2.ec.electric_Q,e2.ec,electric,Q,9,1333
e2.ec.rejected_Q,e2.ec,rejected,Q,9,-11576
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,9,1750
e2.dhwt.loss_D,e2.dhwt,loss,D,9,16
e2.hhwt.loss_D,e2.hhwt,loss,D,9,8
e2.dhwt.storage_J,e2.dhwt,storage,J,9,13422818
e2.hhwt.storage_J,e2.hhwt,storage,J,9,392894
e2.ice.storage_J,e2.ice,storage,J,9,-433439999
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,10,123000
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,10,-123000
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,10,-119591
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,10,119591
e2.hx.hhwt_Q,e2.hx,hhwt,Q,10,-200000
e2.hhwt.hx_Q,e2.hhwt,hx,Q,10,200000
e2.sc.hx_Q,e2.sc,hx,Q,10,-200000
e2.hx.sc_Q,e2.hx,sc,Q,10,200000
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,10,-50600
e2.ahu.heat_Q,e2.ahu,heat,Q,10,50600
e2.cwt.ahu_Q,e2.cwt,ahu,Q,10,73800
e2.ahu.cool_Q,e2.ahu,cool,Q,10,-73800
e2.ac.cwt_Q,e2.ac,cwt,Q,10,31600
e2.cwt.ac_Q,e2.cwt,ac,Q,10,-31600
e2.hhwt.ac_Q,e2.hhwt,ac,Q,10,-43888
e2.ac.hhwt_Q,e2.ac,hhwt,Q,10,43888
e2.ct.ac_Q,e2.ct,ac,Q,10,75488
e2.ac.ct_Q,e2.ac,ct,Q,10,-75488
e2.ec.cwt_Q,e2.ec,cwt,Q,10,17200
e2.cwt.ec_Q,e2.cwt,ec,Q,10,-17200
e2.ice.ec_Q,e2.ice,ec,Q,10,0
e2.ec.ice_Q,e2.ec,ice,Q,10,0
e2.ice.cwt_Q,e2.ice,cwt,Q,10,25000
e2.cwt.ice_Q,e2.cwt,ice,Q,10,-25000
